id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17
29090683-29090683_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29106683-29106683_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29227227-29227227_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29227227-29227227_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29410011-29410011_analysis_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30066136-30066136_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30093174-30093174_analysis_1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
30093174-30093174_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30711509-30711509_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31202048-31202048_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31715379-31715379_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
