id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19
19630891-19630891_analysis_6	1	4	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_7	1	3	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19733672-19733672_analysis_0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19733672-19733672_analysis_1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19733672-19733672_analysis_2	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19733672-19733672_analysis_3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19733672-19733672_analysis_4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19733672-19733672_analysis_5	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19944083-19944083_analysis_0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19944083-19944083_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19944083-19944083_analysis_2	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20045478-20045478_analysis_0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
20045478-20045478_analysis_1	1	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20045478-20045478_analysis_2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20045478-20045478_analysis_3	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20056152-20056152_analysis_0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20056152-20056152_analysis_1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20096792-20096792_analysis_0	0	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20096792-20096792_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20096792-20096792_analysis_2	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20096792-20096792_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20188182-20188182_analysis_0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
