id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
23571420-23571420_analysis_0	1	0	0	0	0	0	1	0	0	0	0
23571420-23571420_analysis_1	0	0	0	0	0	0	0	0	0	0	0
23571420-23571420_analysis_2	2	0	0	0	0	0	0	0	0	0	0
23571420-23571420_analysis_3	2	0	0	0	0	0	0	0	0	0	0
23571420-23571420_analysis_4	3	0	0	0	0	0	0	0	0	0	0
23667541-23667541_analysis_0	1	0	0	0	0	0	0	0	0	0	0
23667541-23667541_analysis_1	0	0	0	0	0	0	0	0	0	0	0
23673865-23673865_analysis_0	2	0	0	0	0	0	0	0	0	0	0
23673865-23673865_analysis_1	1	0	0	0	0	0	0	0	0	0	0
23683790-23683790_analysis_0	2	0	0	0	0	0	0	0	0	0	0
23683790-23683790_analysis_1	0	0	0	0	0	0	0	0	0	0	0
23806873-23806873_analysis_0	14	0	0	0	1	0	0	0	0	0	0
23806873-23806873_analysis_1	2	0	0	0	0	0	0	0	0	0	0
23861816-23861816_analysis_0	3	0	0	0	0	0	0	0	0	0	0
23924756-23924756_analysis_0	0	0	0	0	0	0	0	0	0	0	0
23929709-23929709_analysis_1	8	0	0	0	0	0	0	0	0	0	0
23954410-23954410_analysis_0	17	0	0	0	0	0	0	0	1	0	0
23954410-23954410_analysis_1	9	0	0	0	0	0	0	0	0	0	0
23954410-23954410_analysis_2	3	0	0	0	0	0	0	0	0	0	0
24035535-24035535_analysis_0	6	0	0	0	0	0	0	0	0	0	0
24035535-24035535_analysis_1	0	0	0	0	0	0	0	0	0	0	0
24035535-24035535_analysis_2	5	0	0	0	0	0	0	0	0	0	0
24035535-24035535_analysis_3	1	0	0	0	0	0	0	0	0	0	0
24039715-24039715_analysis_0	7	0	0	0	0	0	0	0	0	0	0
24140399-24140399_analysis_0	39	1	0	0	0	0	0	0	0	0	0
24183133-24183133_analysis_1	0	1	0	0	0	0	0	0	0	0	0
24183133-24183133_analysis_2	1	0	0	0	0	0	0	0	0	0	0
24183133-24183133_analysis_3	1	1	0	0	0	0	0	0	0	0	0
24183133-24183133_analysis_4	0	0	0	0	0	0	0	0	0	0	0
24183133-24183133_analysis_5	1	0	0	0	0	0	0	0	0	0	0
