pmid,table_id,table_label,x,y,z,p_value,region,size,statistic,groups
23574585,9,Table 1,-8.0,61.0,36.0,,Dorsal,749,,Group Mental > Group Physical///MPFC
23574585,9,Table 1,-6.0,45.0,50.0,,Dorsal,490,,Member Mental > Member Physical///MPFC
23574585,9,Table 1,-56.0,-9.0,-22.0,,Left,798,,Group Mental > Group Physical///Anterior temporal cortex
23574585,9,Table 1,-54.0,-11.0,-16.0,,Left,1133,,Member Mental > Member Physical///Anterior temporal cortex
23574585,9,Table 1,56.0,-1.0,-22.0,,Right,769,,Group Mental > Group Physical///Anterior temporal cortex
23574585,9,Table 1,42.0,19.0,-32.0,,Right,897,,Member Mental > Member Physical///Anterior temporal cortex
23574585,9,Table 1,-8.0,-55.0,16.0,,Medial parietal cortex,524,,Group Mental > Group Physical///Anterior temporal cortex
23574585,9,Table 1,0.0,-49.0,28.0,,Medial parietal cortex,95,,Member Mental > Member Physical///Anterior temporal cortex
23574585,10,Table 2,-8.0,45.0,52.0,,Dorsal,1221,,Individual Mental > Individual Physical///MPFC
23574585,10,Table 2,8.0,61.0,26.0,,Dorsal,699,,Belief > Photo///MPFC
23574585,10,Table 2,-8.0,55.0,2.0,,Ventral,807,,Individual Mental > Individual Physical///MPFC
23574585,10,Table 2,-2.0,-51.0,22.0,,Medial parietal cortex,860,,Individual Mental > Individual Physical///MPFC
23574585,10,Table 2,10.0,-51.0,34.0,,Medial parietal cortex,2491,,Belief > Photo///MPFC
23574585,10,Table 2,-48.0,-17.0,-24.0,,Left,813,,Individual Mental > Individual Physical///Anterior temporal cortex
23574585,10,Table 2,62.0,-7.0,-18.0,,Right,123,,Individual Mental > Individual Physical///Anterior temporal cortex
23574585,10,Table 2,54.0,-3.0,-22.0,,Right,1484,,Belief > Photo///Anterior temporal cortex
23574585,10,Table 2,-54.0,-67.0,32.0,,Left,166,,Individual Mental > Individual Physical///TPJ
23574585,10,Table 2,-60.0,-59.0,20.0,,Left,561,,Belief > Photo///TPJ
23574585,10,Table 2,66.0,-49.0,26.0,,Right,80,,Individual Mental > Individual Physical///TPJ
23574585,10,Table 2,58.0,-53.0,30.0,,Right,888,,Belief > Photo///TPJ
23574585,10,Table 2,30.0,-83.0,-36.0,,Right,376,,Individual Mental > Individual Physical///Cerebellum
23574585,10,Table 2,-26.0,-79.0,-36.0,,Left,99,,Individual Mental > Individual Physical///Cerebellum
23574585,10,Table 2,-24.0,-77.0,-38.0,,Left,333,,Belief > Photo///Cerebellum
23574585,10,Table 2,44.0,-45.0,6.0,,STS,263,,Individual Mental > Individual Physical///Cerebellum
23574585,10,Table 2,-34.0,-31.0,-18.0,,Parahippocampal gyrus,130,,Individual Mental > Individual Physical///Cerebellum
23574585,10,Table 2,-48.0,29.0,-14.0,,Inferior frontal gyrus (orbital),116,,Individual Mental > Individual Physical///Cerebellum
23574585,11,Table 3,-6.0,41.0,32.0,,Dorsomedial pFC,133,3.78,
23574585,11,Table 3,-18.0,-69.0,54.0,,Precuneus,228,3.78,Medial parietal cortex
23574585,11,Table 3,-8.0,-49.0,16.0,,Posterior cingulate cortex,282,3.68,Medial parietal cortex
23574585,11,Table 3,-30.0,33.0,26.0,,Middle frontal gyrus,342,3.73,Medial parietal cortex
23574585,11,Table 3,-46.0,9.0,-34.0,,Left anterior temporal cortex,282,3.58,Medial parietal cortex
23574585,11,Table 3,40.0,-27.0,54.0,,Postcentral gyrus,142,3.58,Medial parietal cortex
23574585,11,Table 3,22.0,5.0,56.0,,Lateral superior frontal gyrus,775,3.56,Medial parietal cortex
23574585,11,Table 3,-18.0,1.0,66.0,,Lateral superior frontal gyrus,165,3.53,Medial parietal cortex
23574585,11,Table 3,56.0,-31.0,34.0,,Supramarginal gyrus,166,3.56,Medial parietal cortex
23574585,11,Table 3,-34.0,27.0,-14.0,,Inferior frontal gyrus (orbital),250,3.53,Medial parietal cortex
23574585,11,Table 3,-52.0,-39.0,24.0,,Left TPJ,133,3.44,Medial parietal cortex
24666131,12,Table 1,-31.0,-41.0,57.0,,LH PostCG (SI),324,5.332,"Interaction contrast (corresponding to Figure 3, yellow): [(hand/human hand > hand/fake hand) − (object/human hand > object/fake hand)]"
24666131,12,Table 1,-43.0,-32.0,33.0,,LH aIPL,567,4.607,"Interaction contrast (corresponding to Figure 4, yellow): [(object/human hand > object/fake hand) − (hand/human hand > hand/fake hand)]"
24666131,12,Table 1,-49.0,-65.0,3.0,,LH lOT,243,4.926,"Interaction contrast (corresponding to Figure 4, yellow): [(object/human hand > object/fake hand) − (hand/human hand > hand/fake hand)]"
24666131,12,Table 1,-58.0,-5.0,30.0,,LH PreCG,1269,7.098,Target effect [human hand > fake hand] − Modality effect: [object > hand]
24666131,12,Table 1,-37.0,-35.0,42.0,,LH PostCG/aIPL,1242,5.094,Target effect [human hand > fake hand] − Modality effect: [object > hand]
24666131,12,Table 1,-46.0,-8.0,15.0,,LH mIC,1863,6.322,Target effect [human hand > fake hand] − Modality effect: [object > hand]
24666131,12,Table 1,17.0,-56.0,-18.0,,RH Cerebellum,243,4.157,"Interaction contrast (corresponding to Figure 3, yellow/green): [(hand/human hand > hand/fake hand) − (object/human hand > object/fake hand)]"
24666131,12,Table 1,-7.0,40.0,3.0,,LH MPFC,162,3.921,"Interaction contrast (corresponding to Figure 3, yellow/green): [(hand/human hand > hand/fake hand) − (object/human hand > object/fake hand)]"
24666131,12,Table 1,-10.0,-92.0,-12.0,,LH OCC,8343,9.036,Interaction contrast: [(object/human hand > object/fake hand) − (hand/human hand > hand/fake hand)] − Target effect [human hand > fake hand] − Modality effect: [hand > object]
24666131,12,Table 1,32.0,-26.0,60.0,,RH PreCG,6075,8.471,Modality effect: [object > hand]
24666131,12,Table 1,41.0,-29.0,42.0,,RH PostCG,-,7.844,Modality effect: [object > hand]
24666131,12,Table 1,-37.0,-26.0,51.0,,LH PreCG,13698,6.398,Modality effect: [object > hand]
24666131,12,Table 1,-10.0,-14.0,45.0,,LH MCC,351,5.746,Modality effect: [object > hand]
26567160,13,Table 1,-10.0,40.0,48.0,,ACC/mPFC,"3,664",8.30,Attitude > Age
26567160,13,Table 1,-46.0,-64.0,26.0,,TPJ,"2,225",10.17,Attitude > Age
26567160,13,Table 1,56.0,-68.0,12.0,,TPJ,442,6.54,Attitude > Age
26567160,13,Table 1,-48.0,26.0,2.0,,IFG,"1,215",8.08,Attitude > Age
26567160,13,Table 1,54.0,30.0,-2.0,,IFG,78,7.36,Attitude > Age
26567160,13,Table 1,26.0,-82.0,-34.0,,Cerebellum-(Crus-I),216,7.27,Attitude > Age
26567160,13,Table 1,-2.0,-14.0,40.0,,MCC,117,6.45,Attitude > Age
26567160,13,Table 1,-6.0,-52.0,34.0,,PrC,43,5.36,Attitude > Age
26567160,13,Table 1,52.0,-6.0,-16.0,,Superior temporal sulcus,34,5.52,Attitude > Age
26567160,13,Table 1,42.0,12.0,-36.0,,Middle temporal gyrus/pole,13,5.85,Attitude > Age
26567160,13,Table 1,-12.0,-8.0,16.0,,Thalamus,12,4.70,Attitude > Age
26567160,13,Table 1,-2.0,36.0,2.0,,ACC/mPFC,"3,236",8.44,Trust > Age
26567160,13,Table 1,-50.0,-72.0,38.0,,TPJ,"1,145",8.78,Trust > Age
26567160,13,Table 1,60.0,-58.0,24.0,,TPJ,91,6.01,Trust > Age
26567160,13,Table 1,-46.0,-28.0,-4.0,,IFG,277,5.71,Trust > Age
26567160,13,Table 1,54.0,30.0,-2.0,,IFG,33,5.90,Trust > Age
26567160,13,Table 1,-52.0,-4.0,-30.0,,Middle temporal gyrus,162,5.83,Trust > Age
26567160,13,Table 1,26.0,-82.0,-34.0,,Cerebellum-(Crus-I),91,6.57,Trust > Age
