id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
22281932-22281932_analysis_2	5	0	0	0	0	0	0	0
22281932-22281932_analysis_3	2	0	0	0	0	0	0	0
22281932-22281932_analysis_4	7	0	0	0	0	0	0	0
22281932-22281932_analysis_5	7	0	0	0	0	1	0	0
22288977-22288977_analysis_0	2	0	0	0	0	0	0	0
22288977-22288977_analysis_1	0	0	0	0	0	0	0	0
22288977-22288977_analysis_2	2	0	0	0	0	0	0	0
22288977-22288977_analysis_3	3	0	0	0	0	0	0	0
22288977-22288977_analysis_4	2	0	0	0	0	0	0	0
22329835-22329835_analysis_0	4	0	0	0	0	0	0	0
22329835-22329835_analysis_1	3	0	0	0	0	0	0	0
22329835-22329835_analysis_2	1	0	0	0	0	0	0	0
22329835-22329835_analysis_3	3	0	0	0	0	0	0	0
22381514-22381514_analysis_0	15	0	0	0	0	0	0	0
22406414-22406414_analysis_0	3	0	0	0	0	0	0	0
22406414-22406414_analysis_1	1	0	0	0	0	0	0	0
22406414-22406414_analysis_2	2	0	0	0	0	0	0	0
22406414-22406414_analysis_3	0	0	0	0	0	0	0	0
22458561-22458561_analysis_0	14	0	0	0	0	0	0	0
22458561-22458561_analysis_1	5	0	0	0	0	0	0	0
22458561-22458561_analysis_2	2	0	0	0	0	0	0	0
22458561-22458561_analysis_3	1	0	0	0	0	0	0	0
22458561-22458561_analysis_4	0	0	0	0	0	0	0	0
22461323-22461323_analysis_0	10	0	0	0	0	0	0	1
22461323-22461323_analysis_1	0	0	0	0	0	0	0	0
22461323-22461323_analysis_2	0	0	0	0	0	0	0	0
22461323-22461323_analysis_3	3	0	0	0	0	0	0	0
22461323-22461323_analysis_4	6	0	0	0	0	0	0	0
22476609-22476609_analysis_0	1	0	0	0	0	0	0	0
22476609-22476609_analysis_1	1	0	0	0	0	0	0	0
22476609-22476609_analysis_10	1	0	0	0	0	0	0	0
22476609-22476609_analysis_11	3	0	0	0	0	0	0	0
22476609-22476609_analysis_12	2	0	0	0	0	0	0	0
22476609-22476609_analysis_13	4	0	0	0	0	0	0	0
22476609-22476609_analysis_14	0	0	0	0	0	0	0	0
22476609-22476609_analysis_16	2	0	0	0	0	0	0	0
22476609-22476609_analysis_17	3	0	0	0	0	0	0	0
22476609-22476609_analysis_2	0	0	0	0	0	0	0	0
22476609-22476609_analysis_3	2	0	0	0	0	0	0	0
22476609-22476609_analysis_4	0	0	0	0	0	0	0	0
22476609-22476609_analysis_5	4	0	0	0	0	0	0	0
22476609-22476609_analysis_6	4	0	0	0	0	0	0	0
22476609-22476609_analysis_7	4	0	0	0	0	0	0	0
22476609-22476609_analysis_8	0	0	0	0	0	0	0	0
22476609-22476609_analysis_9	1	0	0	0	0	0	0	0
22483100-22483100_analysis_0	7	0	0	0	0	0	0	0
22483100-22483100_analysis_1	0	0	0	0	0	0	0	0
22483100-22483100_analysis_2	2	0	0	0	0	0	0	0
22505321-22505321_analysis_0	7	0	0	0	0	0	0	0
22505321-22505321_analysis_1	2	0	0	0	0	0	0	0
22505321-22505321_analysis_2	8	0	0	0	0	0	0	0
22505321-22505321_analysis_3	0	0	0	0	0	0	0	0
22542509-22542509_analysis_0	7	0	1	0	0	0	0	0
22542509-22542509_analysis_1	0	0	0	0	0	0	0	0
22542509-22542509_analysis_2	0	0	0	0	0	0	0	0
22576622-22576622_analysis_0	0	0	0	0	0	0	0	0
22576622-22576622_analysis_1	0	0	0	0	0	0	0	0
22580204-22580204_analysis_0	2	0	0	0	0	0	0	0
22580204-22580204_analysis_1	1	0	0	0	0	0	0	0
22580204-22580204_analysis_10	1	0	0	0	0	0	0	0
